Identifiant,ft_2_categ,EXPO,ft_4_categ,ft_5_categ,ft_6_categ,ft_7_categ,ft_8_categ,ft_9_categ,ft_10_categ,ft_11_categ,ft_12_categ,ft_13_categ,ft_14_categ,ft_15_categ,ft_16_categ,ft_17_categ,ft_18_categ,ft_19_categ,superficief,ft_21_categ,ft_22_categ,ft_23_categ,ft_24_categ,Insee,target
2650,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2100.0,2,1960.0,0.0,   .,26198,0
1892,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2041.0,1,1980.0,0.0,   .,21171,0
2065,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2250.0,2,1960.0,0.0,   .,13206,0
8434,2016,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,3335.0,2,2002.0,0.0,   5,64024,1
793,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,V,base,2,400.0,2,,0.0,   .,25462,0
4913,2014,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,900.0,1,1960.0,0.0,   .,35236,0
3986,2014,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,900.0,3,1960.0,0.0,   .,94022,1
12583,2012,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,490.0,2,1950.0,0.0,   5,13205,1
6440,2016,"0,99726776",0,V,N,2,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,4300.0,4,1940.0,0.0,   6,06083,0
8609,2013,"0,123287671",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1850.0,2,,0.0,   .,67268,0
3234,2013,1,1,V,N,3,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,320.0,1,1970.0,0.3,   2,41018,0
6565,2013,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1310.0,1,1988.0,0.0,   .,74180,0
1550,2012,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1390.0,1,1980.0,0.0,   .,36044,0
2559,2013,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,610.0,2,1960.0,0.0,   .,13204,0
8057,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,5920.0,2,,0.0,   .,59560,1
4027,2013,"0,709589041",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,400.0,1,1980.0,0.0,   .,63300,0
3957,2016,"0,99726776",0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,1120.0,1,1975.0,0.0,   4,43157,0
6380,2014,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,1,400.0,4,1983.0,0.6,   3,06085,0
16479,2014,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,1,350.0,3,1960.0,0.3,   2,83137,0
14708,2014,"0,838356164",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,806.0,2,1960.0,0.0,   .,83115,0
15263,2014,1,1,V,N,2,O,1,O,N,O,O,N,AUTRE,IDENTIQUE,V,pi,2,3850.0,4,1973.0,0.0,   9,75112,1
15356,2013,1,1,V,N,1,O,1,O,N,O,O,O,AUTRE,IDENTIQUE,V,pi,2,1121.0,3,1950.0,0.0,   5,94068,0
11995,2012,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,2357.0,1,1989.0,0.0,   5,74010,1
11210,2014,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,680.0,1,1960.0,0.0,   .,81163,0
8160,2014,1,1,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,700.0,2,1940.0,0.0,   3,31555,0
19449,2015,1,0,V,N,3,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,1235.0,3,2013.0,0.6,   4,64445,0
1253,2012,"0,74863388",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,462.0,2,1960.0,0.0,   .,14562,0
17239,2012,1,1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,1000.0,3,1850.0,0.3,   5,92063,1
16800,2016,"0,967213115",0,V,N,2,O,1,O,N,O,O,N,AUTRE,IDENTIQUE,V,effpi,2,3065.0,2,1965.0,0.0,   8,76259,0
1186,2016,"0,989071038",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,432.0,1,1960.0,0.0,   .,71270,0
11715,2013,"0,747945205",1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,4224.0,3,1980.0,0.0,   .,94044,1
12544,2016,"0,994535519",1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,250.0,3,1960.0,0.0,   .,94058,0
14594,2012,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,333.0,3,1960.0,0.0,   .,92025,0
404,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1050.0,1,,0.0,   .,74189,1
13072,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,350.0,1,1988.0,0.0,   .,17300,0
12496,2014,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,500.0,3,1960.0,0.0,   .,59599,0
12166,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,500.0,4,1980.0,0.0,   .,06048,0
18081,2012,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,745.0,1,2008.0,0.3,   3,73263,1
9613,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,6640.0,2,1980.0,0.0,   .,42218,1
1615,2012,1,1,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,4600.0,2,1960.0,0.0,   .,38185,0
1357,2014,1,0,N,N,1,O,1,O,N,N,O,O,AUTRE,IDENTIQUE,V,base,2,326.0,2,1900.0,0.0,   3,38516,0
13390,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,600.0,1,1988.0,0.0,   .,17094,0
63,2013,1,1,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1700.0,4,1980.0,0.0,   .,06088,1
6238,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,480.0,3,1960.0,0.0,   .,92025,0
10343,2012,1,0,V,N,2,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,560.0,2,1850.0,0.6,   3,13201,0
1237,2016,"0,330601093",0,V,V,V,V,V,V,V,V,V,V,V,V,V,base,2,650.0,1,,0.0,   .,74281,0
17914,2014,1,1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,640.0,2,1982.0,0.0,   4,95539,1
11933,2013,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,420.0,2,1960.0,0.0,   .,13207,0
18451,2012,"0,75136612",1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,992.0,3,2012.0,0.3,   3,93033,0
13541,2014,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,550.0,2,1980.0,0.0,   .,38931,0
10180,2013,1,1,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,300.0,2,1930.0,0.0,   3,13213,0
16478,2014,1,0,V,N,3,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,effpi,2,3420.0,1,2007.0,0.0,   3,13100,0
9208,2012,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,800.0,4,1960.0,0.0,   .,06083,0
4537,2015,1,0,V,N,3,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,1156.0,2,2000.0,0.0,   5,63113,0
11598,2016,"0,967213115",1,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,3985.0,2,1988.0,0.0,   .,31555,0
19859,2016,"0,890710383",0,V,N,2,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,effpi,2,3700.0,1,2007.0,0.0,   6,73011,1
1609,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,300.0,2,1960.0,0.0,   .,13203,0
11188,2016,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2390.0,2,1988.0,0.0,   .,26198,0
2185,2016,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2075.0,1,1988.0,0.0,   .,73065,0
1875,2013,1,0,V,N,1,O,1,O,N,N,O,O,AUTRE,IDENTIQUE,V,base,2,400.0,1,1930.0,0.0,   3,42207,0
5472,2016,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2124.0,1,1988.0,0.0,   .,74224,0
510,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,500.0,1,1960.0,0.0,   .,73008,0
18674,2012,"0,480874317",1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,effpi,2,1315.0,4,1900.0,0.0,   6,06088,0
5162,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,700.0,1,1980.0,0.0,   .,86194,0
4906,2012,1,1,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,462.0,2,1980.0,0.0,   .,83126,0
11084,2013,1,1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,800.0,2,2000.0,0.3,   5,13205,1
1143,2014,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,520.0,2,1900.0,0.0,   4,13214,0
17358,2013,"0,246575342",0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,300.0,1,1850.0,0.0,   3,49007,0
18744,2013,1,0,V,N,2,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,1215.0,1,1950.0,0.0,   3,17306,0
5512,2012,1,0,V,N,3,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,V,2,1200.0,4,1997.0,0.0,   4,06004,0
9254,2012,0,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1005.0,2,,0.0,   .,59295,0
16842,2015,1,1,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,1619.0,2,1960.0,0.0,   4,78513,1
3868,2015,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,1000.0,2,1970.0,0.0,   6,64422,1
12992,2012,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,2500.0,3,2006.0,0.3,   7,2A004,0
9568,2015,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,5200.0,2,1960.0,0.0,   .,13210,0
9284,2014,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1850.0,4,,0.0,   .,75112,0
939,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1572.0,1,1960.0,0.0,   .,87085,0
17293,2015,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,4820.0,2,2011.0,0.0,   4,38006,0
14884,2016,"0,99726776",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,200.0,3,1980.0,0.0,   .,93049,1
8215,2015,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1100.0,3,,0.0,   .,2B033,0
1469,2015,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,effpi,2,396.0,2,1900.0,0.0,   5,13207,0
9262,2014,"0,821917808",1,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,750.0,2,,0.0,   .,95052,0
11686,2013,"0,747945205",1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,1390.0,3,1940.0,0.0,   5,38185,0
9828,2015,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,595.0,2,1960.0,0.0,   .,90008,0
860,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,511.0,1,1988.0,0.0,   .,21005,0
14157,2016,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1000.0,4,1960.0,0.0,   .,75105,1
10991,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,12000.0,4,1980.0,0.0,   .,06104,1
6495,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,385.0,1,1980.0,0.0,   .,44135,0
7174,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,400.0,3,1960.0,0.0,   .,54395,0
11831,2014,1,0,V,N,1,O,1,O,N,N,O,O,AUTRE,IDENTIQUE,V,effpi,2,600.0,2,1900.0,0.0,   5,13203,0
17624,2012,1,1,V,N,3,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,effpi,2,6000.0,2,1999.0,0.0,   5,78297,1
10695,2013,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,547.0,1,1980.0,0.0,   .,63124,0
535,2016,"0,99726776",1,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,900.0,4,1980.0,0.0,   .,06088,0
3449,2013,"0,802739726",1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,500.0,2,,0.0,   .,13001,0
10112,2015,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,450.0,2,,0.0,   .,13205,0
14738,2013,"0,747945205",0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,330.0,2,2004.0,0.0,   3,30276,0
6660,2012,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1800.0,4,1980.0,0.0,   .,75114,0
19814,2016,"0,99726776",1,V,N,3,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,3031.0,2,1979.0,0.6,   4,25462,1
11839,2012,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,4500.0,2,1980.0,0.0,   .,34344,1
6542,2013,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,760.0,3,1980.0,0.0,   .,92064,0
18382,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,2,,1,1981.0,V,   .,,0
6755,2015,1,1,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,eff,2,2475.0,2,1985.0,0.6,   5,44109,0
33,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,580.0,2,1960.0,0.0,   .,69297,0
17198,2013,1,1,V,N,1,O,1,O,N,N,O,O,AUTRE,IDENTIQUE,V,pi,2,1227.0,3,1900.0,0.0,   5,94067,0
283,2014,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1239.0,2,1980.0,0.0,   .,14488,0
3558,2015,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,450.0,2,1900.0,0.6,   3,30189,0
1126,2013,"0,580821918",0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,pi,2,505.0,2,1900.0,0.0,   4,13206,0
13010,2012,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1960.0,1,1960.0,0.0,   .,54483,0
19932,2016,"0,428961749",1,V,N,2,O,1,O,N,O,N,N,AUTRE,IDENTIQUE,V,effpi,2,1764.0,2,1961.0,0.0,   4,42218,0
14011,2014,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,800.0,2,1960.0,0.0,   .,76351,0
11518,2014,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,500.0,2,1980.0,0.0,   .,30047,0
15579,2014,1,0,V,N,2,O,1,O,N,O,O,N,AUTRE,IDENTIQUE,V,base,2,5439.0,1,1976.0,0.0,>=10,03190,1
6654,2012,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,1650.0,2,1975.0,0.6,   5,64422,1
1233,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,550.0,1,1980.0,0.0,   .,87085,1
10819,2013,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,583.0,2,1960.0,0.0,   .,13202,0
18613,2015,1,0,V,N,3,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,3349.0,1,2012.0,0.0,   4,91174,1
12360,2016,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,330.0,2,1980.0,0.0,   .,30133,0
17915,2013,1,1,V,N,1,O,1,O,N,N,O,O,AUTRE,IDENTIQUE,V,base,2,1500.0,4,1850.0,0.0,   6,75105,1
7816,2013,"0,539726027",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,400.0,2,1960.0,0.0,   .,13211,0
15876,2013,1,1,V,V,V,V,V,V,V,V,V,V,V,V,V,V,2,,3,1950.0,V,   .,,0
4601,2012,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,350.0,2,1960.0,0.0,   .,95555,1
18851,2015,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,1,460.0,2,2011.0,0.0,   2,38126,0
14123,2013,"0,347945205",1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,700.0,3,1960.0,0.0,   .,33063,0
2060,2015,1,0,V,N,2,O,1,O,N,O,O,N,AUTRE,IDENTIQUE,V,pi,2,4142.0,2,1969.0,0.0,>=10,38229,0
6996,2012,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,400.0,3,1980.0,0.0,   .,93051,1
11748,2014,"0,975342466",1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,715.0,2,1960.0,0.0,   .,78517,0
9582,2015,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,300.0,2,1960.0,0.0,   .,13204,0
2191,2014,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,560.0,2,1980.0,0.0,   .,83069,0
17983,2015,1,0,V,N,3,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,2050.0,2,2004.0,0.0,   5,80228,0
18655,2014,1,1,V,N,3,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,effpi,2,800.0,4,1995.0,0.0,   5,06088,0
6428,2014,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,200.0,3,1800.0,0.3,   5,33063,0
12522,2013,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,650.0,2,1960.0,0.0,   .,13206,0
17457,2013,0,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,1,420.0,2,1955.0,0.0,   3,57480,0
6807,2014,1,0,V,N,2,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,4030.0,2,1960.0,0.0,   6,63113,0
9372,2014,"0,526027397",1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1253.0,3,,0.0,   .,92035,0
8729,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1125.0,4,,0.0,   .,06088,0
15649,2013,"0,832876712",0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,1702.0,2,2009.0,0.0,   5,31033,0
17935,2015,1,1,V,N,1,O,1,O,N,N,O,O,AUTRE,IDENTIQUE,V,effpi,1,1210.0,4,1910.0,0.0,   7,75110,0
5823,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,439.0,1,1980.0,0.0,   .,13004,0
6493,2014,"0,082191781",0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,2316.0,1,2003.0,0.0,   2,17028,0
18151,2015,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,290.0,1,1960.0,0.3,   3,73116,0
3795,2015,1,0,V,N,1,O,1,O,N,O,O,N,AUTRE,IDENTIQUE,V,base,2,550.0,1,1960.0,0.0,   3,15014,0
19095,2015,"0,402739726",0,V,N,2,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,2200.0,3,1970.0,0.0,   7,2A004,1
5771,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1986.0,1,1980.0,0.0,   .,35093,0
14940,2012,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,6054.0,3,1988.0,0.0,   .,92035,0
10952,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2100.0,1,1980.0,0.0,   .,74190,0
2284,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,280.0,2,1960.0,0.0,   .,66037,0
7001,2014,"0,816438356",1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,500.0,3,,0.0,   .,33063,1
434,2013,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,630.0,2,1850.0,0.0,   3,13001,1
6960,2014,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,1,700.0,1,1860.0,0.0,   3,91511,0
1046,2016,"0,99726776",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,145.0,1,1980.0,0.0,   .,58194,0
4342,2013,"0,854794521",1,V,N,1,O,1,O,N,N,O,O,AUTRE,IDENTIQUE,V,pi,2,500.0,2,1930.0,0.0,   3,51454,0
16722,2012,1,1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,280.0,3,1950.0,0.6,   3,94058,0
5425,2015,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1568.0,3,1960.0,0.0,   .,92004,0
10134,2014,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,618.0,2,1960.0,0.0,   .,13206,0
942,2014,1,0,V,N,1,O,1,O,N,O,N,N,AUTRE,IDENTIQUE,V,base,2,2172.0,1,1990.0,0.0,   4,74256,0
14854,2016,"0,99726776",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,310.0,2,1988.0,0.0,   .,34120,0
16983,2013,1,0,V,N,1,O,1,O,N,N,O,O,AUTRE,IDENTIQUE,V,base,1,920.0,1,1900.0,0.0,   4,42222,0
7885,2013,"0,495890411",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,4701.0,1,1988.0,0.0,   .,74180,0
2059,2015,"0,41369863",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,643.0,2,1960.0,0.0,   .,38229,0
18711,2013,"0,64109589",0,V,N,2,O,1,O,N,O,O,N,AUTRE,IDENTIQUE,V,base,2,15000.0,2,1970.0,0.0,   5,57463,1
8235,2016,"0,99726776",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1095.0,3,,0.0,   .,2B033,0
1927,2015,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1780.0,2,1980.0,0.0,   .,34902,0
3653,2013,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1950.0,2,1988.0,0.0,   .,83065,0
914,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,900.0,1,1980.0,0.0,   .,87085,0
1453,2013,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,effpi,2,513.0,2,1950.0,0.0,   4,13204,1
4608,2013,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,750.0,2,1980.0,0.0,   .,13212,0
2779,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1100.0,2,1988.0,0.0,   .,38075,0
7008,2016,"0,99726776",1,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,4900.0,2,1980.0,0.0,   .,30125,0
11102,2014,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,300.0,1,1988.0,0.0,   .,74267,0
19081,2016,"0,99726776",0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,2412.0,3,2010.0,0.0,   4,64189,1
35,2014,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,580.0,2,1960.0,0.0,   .,69297,0
11535,2014,1,0,V,N,1,O,1,O,N,N,O,O,AUTRE,IDENTIQUE,V,base,2,976.0,2,1900.0,0.0,   4,63113,0
3317,2014,1,0,V,N,3,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,1050.0,2,1960.0,0.3,   5,62826,0
13101,2012,1,0,V,N,V,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,580.0,2,1960.0,0.0,   3,60139,0
1589,2013,"0,865753425",1,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,850.0,3,1960.0,0.0,   .,38185,0
14041,2014,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1750.0,2,1960.0,0.0,   .,34301,1
13694,2012,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,510.0,3,1875.0,0.6,   4,33063,1
15477,2012,1,0,V,N,1,O,1,O,N,N,N,O,AUTRE,IDENTIQUE,V,base,1,650.0,1,1950.0,0.0,   2,88075,0
17292,2016,"0,99726776",1,V,N,2,O,1,O,N,O,O,N,AUTRE,IDENTIQUE,V,base,2,7100.0,1,1969.0,0.6,>=10,37261,0
17763,2012,1,1,V,V,V,V,V,V,V,V,V,V,V,V,V,V,2,,2,2000.0,V,   .,,0
5702,2015,1,1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,300.0,3,1900.0,0.3,   1,94003,0
6586,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1978.0,3,1960.0,0.0,   .,93051,0
3918,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,600.0,3,1960.0,0.0,   .,94002,0
12136,2014,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,690.0,4,1960.0,0.0,   .,75120,0
16677,2016,"0,99726776",1,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,7000.0,3,1993.0,0.0,   4,92023,1
15697,2014,1,0,V,N,3,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,3737.0,1,2009.0,0.0,   2,27229,0
15689,2015,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,1,1890.0,2,1965.0,0.0,   5,13204,0
11052,2016,"0,090163934",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,480.0,4,1980.0,0.0,   .,06104,0
8671,2014,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,3567.0,4,1960.0,0.0,   .,75114,0
16869,2012,1,1,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,1684.0,2,1970.0,0.0,   4,78688,1
11317,2013,1,1,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,8600.0,2,1988.0,0.0,   .,31341,0
14327,2013,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,769.0,2,1960.0,0.0,   .,14118,0
12590,2015,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1531.0,1,1988.0,0.0,   .,74220,0
530,2012,1,1,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,438.0,4,1980.0,0.0,   .,06088,0
2540,2014,"0,832876712",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,900.0,2,,0.0,   .,57672,0
4595,2013,1,1,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,791.0,3,1960.0,0.0,   .,92004,0
2370,2015,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1400.0,1,1960.0,0.0,   .,54482,0
18871,2012,"0,180327869",1,V,N,2,O,1,O,N,O,N,N,AUTRE,IDENTIQUE,V,base,2,11516.0,3,1995.0,0.0,   5,92012,0
14850,2013,"0,832876712",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,700.0,3,1960.0,0.0,   .,94019,0
